         (0.2,0)            (0,0)         (1.28,0)          (0.2,0)            (0,0)            (0,0)   (0.00305624,0)   (-0.0668855,0)     (0.456963,0)     (0.546956,0)   (-0.0946901,0)   (0.00349011,0)     (0.336276,0)     (0.286891,0)   (-0.0210274,0)    (0.0247844,0)    (-0.395383,0)    (-0.379795,0)
    (0.198423,0)    (0.0250666,0)         (1.28,0)     (0.198423,0)    (0.0250666,0)     (0.049738,0)   (-0.0144876,0)    (-0.100203,0)     (0.436701,0)     (0.561395,0)   (-0.0491939,0)    (0.0155449,0)     (0.285818,0)     (0.276711,0)  (-0.00560999,0)    (0.0403122,0)    (-0.410519,0)     (-0.44257,0)
    (0.193717,0)     (0.049738,0)         (1.28,0)     (0.193717,0)     (0.049738,0)    (0.0963507,0)   (-0.0379773,0)     (-0.13247,0)     (0.418915,0)     (0.574284,0)  (-0.00941812,0)    (0.0191571,0)     (0.236819,0)     (0.268428,0)   (0.00902148,0)    (0.0514137,0)    (-0.426679,0)    (-0.501018,0)
    (0.185955,0)    (0.0736249,0)         (1.28,0)     (0.185955,0)    (0.0736249,0)     (0.136909,0)   (-0.0651972,0)    (-0.161863,0)     (0.403746,0)     (0.583437,0)    (0.0212201,0)     (0.014758,0)     (0.192189,0)      (0.26101,0)    (0.0204478,0)    (0.0572942,0)    (-0.442618,0)    (-0.552416,0)
    (0.175261,0)    (0.0963507,0)         (1.28,0)     (0.175261,0)    (0.0963507,0)     (0.168866,0)   (-0.0936006,0)    (-0.187256,0)     (0.390758,0)     (0.586942,0)    (0.0403839,0)   (0.00370589,0)     (0.154123,0)      (0.25321,0)    (0.0266459,0)    (0.0580874,0)    (-0.456752,0)    (-0.595068,0)
    (0.161803,0)     (0.117557,0)         (1.28,0)     (0.161803,0)     (0.117557,0)     (0.190211,0)    (-0.120828,0)    (-0.208138,0)     (0.379282,0)     (0.583411,0)    (0.0468828,0)   (-0.0122791,0)     (0.124071,0)     (0.243917,0)    (0.0262471,0)    (0.0544122,0)    (-0.467549,0)    (-0.628114,0)
    (0.145794,0)     (0.136909,0)         (1.28,0)     (0.145794,0)     (0.136909,0)     (0.199605,0)     (-0.14506,0)    (-0.224374,0)     (0.368785,0)     (0.572043,0)    (0.0404677,0)   (-0.0316459,0)      (0.10299,0)     (0.232418,0)    (0.0185625,0)    (0.0469177,0)    (-0.473819,0)    (-0.651159,0)
    (0.127485,0)     (0.154103,0)         (1.28,0)     (0.127485,0)     (0.154103,0)     (0.196457,0)    (-0.165171,0)    (-0.235975,0)     (0.359133,0)     (0.552613,0)    (0.0216066,0)   (-0.0533771,0)    (0.0916957,0)     (0.218544,0)   (0.00349383,0)    (0.0359758,0)    (-0.474891,0)    (-0.663932,0)
    (0.107165,0)     (0.168866,0)         (1.28,0)     (0.107165,0)     (0.168866,0)     (0.180965,0)    (-0.180764,0)    (-0.242954,0)     (0.350686,0)     (0.525489,0)   (-0.0085998,0)   (-0.0771383,0)    (0.0911025,0)     (0.202739,0)   (-0.0185424,0)    (0.0215768,0)    (-0.470744,0)    (-0.666064,0)
   (0.0851559,0)     (0.180965,0)         (1.28,0)    (0.0851559,0)     (0.180965,0)     (0.154103,0)    (-0.192159,0)    (-0.245305,0)     (0.344239,0)     (0.491686,0)   (-0.0483613,0)    (-0.103201,0)     (0.102204,0)     (0.186076,0)   (-0.0466178,0)   (0.00342796,0)    (-0.462093,0)    (-0.657084,0)
   (0.0618034,0)     (0.190211,0)         (1.28,0)    (0.0618034,0)     (0.190211,0)     (0.117557,0)    (-0.200353,0)    (-0.243104,0)     (0.340803,0)     (0.452912,0)   (-0.0951303,0)    (-0.132133,0)       (0.1257,0)     (0.170204,0)    (-0.079248,0)   (-0.0187713,0)     (-0.45037,0)    (-0.636665,0)
   (0.0374763,0)     (0.196457,0)         (1.28,0)    (0.0374763,0)     (0.196457,0)    (0.0736249,0)    (-0.206886,0)    (-0.236707,0)     (0.341279,0)     (0.411478,0)    (-0.145711,0)    (-0.164284,0)     (0.161292,0)      (0.15719,0)    (-0.114393,0)   (-0.0449503,0)    (-0.437494,0)    (-0.605122,0)
   (0.0125581,0)     (0.199605,0)         (1.28,0)    (0.0125581,0)     (0.199605,0)    (0.0250666,0)    (-0.213528,0)    (-0.226955,0)     (0.346069,0)     (0.369988,0)    (-0.196653,0)    (-0.199253,0)     (0.206932,0)     (0.149185,0)    (-0.149595,0)   (-0.0743275,0)    (-0.425391,0)    (-0.563987,0)
  (-0.0125581,0)     (0.199605,0)         (1.28,0)   (-0.0125581,0)     (0.199605,0)   (-0.0250666,0)    (-0.221764,0)    (-0.215305,0)     (0.354781,0)     (0.330846,0)     (-0.24482,0)    (-0.235591,0)      (0.25857,0)     (0.147933,0)    (-0.182304,0)    (-0.105286,0)    (-0.415408,0)    (-0.516325,0)
  (-0.0374763,0)     (0.196457,0)         (1.28,0)   (-0.0374763,0)     (0.196457,0)   (-0.0736249,0)    (-0.232274,0)    (-0.203773,0)     (0.366132,0)     (0.295781,0)    (-0.287882,0)    (-0.271006,0)     (0.310878,0)     (0.154261,0)    (-0.210293,0)    (-0.135552,0)    (-0.407932,0)    (-0.466364,0)
  (-0.0618034,0)     (0.190211,0)         (1.28,0)   (-0.0618034,0)     (0.190211,0)    (-0.117557,0)    (-0.244689,0)    (-0.194656,0)     (0.378149,0)     (0.265597,0)    (-0.324491,0)    (-0.302952,0)     (0.358713,0)     (0.167749,0)    (-0.232003,0)      (-0.1626,0)    (-0.402394,0)    (-0.418455,0)
  (-0.0851559,0)     (0.180965,0)         (1.28,0)   (-0.0851559,0)     (0.180965,0)    (-0.154103,0)    (-0.257808,0)     (-0.19014,0)     (0.388552,0)     (0.240264,0)    (-0.354138,0)    (-0.329259,0)     (0.398425,0)     (0.186812,0)    (-0.246655,0)    (-0.184063,0)    (-0.397604,0)     (-0.37598,0)
   (-0.107165,0)     (0.168866,0)         (1.28,0)    (-0.107165,0)     (0.168866,0)    (-0.180965,0)    (-0.270126,0)    (-0.191954,0)     (0.395186,0)     (0.219247,0)    (-0.376831,0)    (-0.348487,0)     (0.428255,0)     (0.209155,0)    (-0.254088,0)       (-0.198,0)    (-0.392187,0)    (-0.340852,0)
   (-0.127485,0)     (0.154103,0)         (1.28,0)    (-0.127485,0)     (0.154103,0)    (-0.196457,0)    (-0.280397,0)    (-0.201212,0)     (0.396331,0)     (0.201921,0)    (-0.392763,0)    (-0.359958,0)     (0.447913,0)     (0.232421,0)    (-0.254419,0)    (-0.202973,0)    (-0.384943,0)    (-0.313732,0)
   (-0.145794,0)     (0.136909,0)         (1.28,0)    (-0.145794,0)     (0.136909,0)    (-0.199605,0)    (-0.287995,0)    (-0.218415,0)     (0.390873,0)     (0.187921,0)    (-0.402086,0)    (-0.363642,0)     (0.457869,0)     (0.254751,0)    (-0.247677,0)    (-0.198016,0)    (-0.375057,0)    (-0.294587,0)
   (-0.161803,0)     (0.117557,0)         (1.28,0)    (-0.161803,0)     (0.117557,0)    (-0.190211,0)    (-0.293057,0)    (-0.243512,0)     (0.378388,0)     (0.177367,0)    (-0.404817,0)    (-0.360036,0)     (0.458817,0)     (0.275112,0)    (-0.233537,0)    (-0.182613,0)    (-0.362195,0)     (-0.28316,0)
   (-0.175261,0)    (0.0963507,0)         (1.28,0)    (-0.175261,0)    (0.0963507,0)    (-0.168866,0)    (-0.296436,0)    (-0.275889,0)     (0.359225,0)     (0.170913,0)     (-0.40086,0)     (-0.35013,0)     (0.451464,0)     (0.293368,0)     (-0.21124,0)    (-0.156772,0)     (-0.34653,0)    (-0.279184,0)
   (-0.185955,0)    (0.0736249,0)         (1.28,0)    (-0.185955,0)    (0.0736249,0)    (-0.136909,0)    (-0.299499,0)     (-0.31427,0)     (0.334618,0)     (0.169627,0)    (-0.390149,0)    (-0.335406,0)     (0.436621,0)     (0.310145,0)    (-0.179779,0)    (-0.121203,0)    (-0.328716,0)    (-0.282303,0)
   (-0.193717,0)     (0.049738,0)         (1.28,0)    (-0.193717,0)     (0.049738,0)   (-0.0963507,0)     (-0.30377,0)    (-0.356606,0)     (0.306754,0)     (0.174676,0)    (-0.372865,0)    (-0.317786,0)     (0.415473,0)     (0.326536,0)    (-0.138382,0)   (-0.0775347,0)    (-0.309794,0)    (-0.291814,0)
   (-0.198423,0)    (0.0250666,0)         (1.28,0)    (-0.198423,0)    (0.0250666,0)    (-0.049738,0)    (-0.310433,0)    (-0.400117,0)     (0.278628,0)     (0.186883,0)    (-0.349667,0)     (-0.29942,0)     (0.389838,0)     (0.343674,0)   (-0.0872264,0)   (-0.0283759,0)       (-0.291,0)    (-0.306373,0)
        (-0.2,0) (-2.16412e-11,0)         (1.28,0)         (-0.2,0) (-1.20828e-11,0)  (1.44631e-12,0)    (-0.319822,0)    (-0.441619,0)     (0.253584,0)     (0.206282,0)    (-0.321846,0)    (-0.282276,0)     (0.362217,0)     (0.362289,0)   (-0.0280881,0)    (0.0229341,0)     (-0.27348,0)    (-0.323897,0)
